"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"13","1","0.01%","100.00%","","","","1","0.01%"
"14","3","0.01%","100.00%","","","","3","0.01%"
"15","25","0.05%","100.00%","","","","25","0.05%"
"16","78","0.17%","97.50%","2","0.05%","2.50%","80","0.16%"
"17","426","0.90%","93.83%","28","0.76%","6.17%","454","0.89%"
"18","1,068","2.27%","96.48%","39","1.05%","3.52%","1,107","2.18%"
"19","1,423","3.02%","96.87%","46","1.24%","3.13%","1,469","2.89%"
"20","1,624","3.45%","95.75%","72","1.95%","4.25%","1,696","3.34%"
"21","1,668","3.54%","95.31%","82","2.22%","4.69%","1,750","3.45%"
"22","1,801","3.83%","94.00%","115","3.11%","6.00%","1,916","3.77%"
"23","1,728","3.67%","94.32%","104","2.81%","5.68%","1,832","3.61%"
"24","1,680","3.57%","93.44%","118","3.19%","6.56%","1,798","3.54%"
"25","1,628","3.46%","92.76%","127","3.43%","7.24%","1,755","3.46%"
"26","1,652","3.51%","93.28%","119","3.22%","6.72%","1,771","3.49%"
"27","1,599","3.40%","93.29%","115","3.11%","6.71%","1,714","3.38%"
"28","1,567","3.33%","93.66%","106","2.86%","6.34%","1,673","3.29%"
"29","1,601","3.40%","93.08%","119","3.22%","6.92%","1,720","3.39%"
"30","1,518","3.22%","91.50%","141","3.81%","8.50%","1,659","3.27%"
"31","1,550","3.29%","92.26%","130","3.51%","7.74%","1,680","3.31%"
"32","1,523","3.24%","90.12%","167","4.51%","9.88%","1,690","3.33%"
"33","1,512","3.21%","91.75%","136","3.67%","8.25%","1,648","3.25%"
"34","1,424","3.02%","90.70%","146","3.94%","9.30%","1,570","3.09%"
"35","1,360","2.89%","91.83%","121","3.27%","8.17%","1,481","2.92%"
"36","1,321","2.81%","91.48%","123","3.32%","8.52%","1,444","2.84%"
"37","1,271","2.70%","91.37%","120","3.24%","8.63%","1,391","2.74%"
"38","1,184","2.52%","91.22%","114","3.08%","8.78%","1,298","2.56%"
"39","1,148","2.44%","91.62%","105","2.84%","8.38%","1,253","2.47%"
"40","1,118","2.37%","90.97%","111","3.00%","9.03%","1,229","2.42%"
"41","1,108","2.35%","90.82%","112","3.03%","9.18%","1,220","2.40%"
"42","968","2.06%","92.54%","78","2.11%","7.46%","1,046","2.06%"
"43","904","1.92%","91.50%","84","2.27%","8.50%","988","1.95%"
"44","819","1.74%","91.20%","79","2.13%","8.80%","898","1.77%"
"45","795","1.69%","89.13%","97","2.62%","10.87%","892","1.76%"
"46","739","1.57%","92.14%","63","1.70%","7.86%","802","1.58%"
"47","640","1.36%","90.27%","69","1.86%","9.73%","709","1.40%"
"48","613","1.30%","90.95%","61","1.65%","9.05%","674","1.33%"
"49","559","1.19%","91.79%","50","1.35%","8.21%","609","1.20%"
"50","536","1.14%","90.39%","57","1.54%","9.61%","593","1.17%"
"51","491","1.04%","92.99%","37","1.00%","7.01%","528","1.04%"
"52","489","1.04%","92.09%","42","1.13%","7.91%","531","1.05%"
"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"53","462","0.98%","92.77%","36","0.97%","7.23%","498","0.98%"
"54","380","0.81%","91.79%","34","0.92%","8.21%","414","0.82%"
"55","389","0.83%","93.96%","25","0.68%","6.04%","414","0.82%"
"56","331","0.70%","91.94%","29","0.78%","8.06%","360","0.71%"
"57","336","0.71%","94.12%","21","0.57%","5.88%","357","0.70%"
"58","309","0.66%","94.79%","17","0.46%","5.21%","326","0.64%"
"59","260","0.55%","93.19%","19","0.51%","6.81%","279","0.55%"
"60","234","0.50%","94.74%","13","0.35%","5.26%","247","0.49%"
"61","204","0.43%","93.15%","15","0.41%","6.85%","219","0.43%"
"62","193","0.41%","94.61%","11","0.30%","5.39%","204","0.40%"
"63","122","0.26%","91.04%","12","0.32%","8.96%","134","0.26%"
"64","110","0.23%","94.02%","7","0.19%","5.98%","117","0.23%"
"65","111","0.24%","94.87%","6","0.16%","5.13%","117","0.23%"
"66","87","0.18%","93.55%","6","0.16%","6.45%","93","0.18%"
"67","62","0.13%","93.94%","4","0.11%","6.06%","66","0.13%"
"68","67","0.14%","94.37%","4","0.11%","5.63%","71","0.14%"
"69","50","0.11%","96.15%","2","0.05%","3.85%","52","0.10%"
"70","39","0.08%","97.50%","1","0.03%","2.50%","40","0.08%"
"71","32","0.07%","96.97%","1","0.03%","3.03%","33","0.06%"
"72","27","0.06%","96.43%","1","0.03%","3.57%","28","0.06%"
"73","17","0.04%","100.00%","","","","17","0.03%"
"74","21","0.04%","95.45%","1","0.03%","4.55%","22","0.04%"
"75","13","0.03%","100.00%","","","","13","0.03%"
"76","11","0.02%","91.67%","1","0.03%","8.33%","12","0.02%"
"77","6","0.01%","100.00%","","","","6","0.01%"
"78","6","0.01%","100.00%","","","","6","0.01%"
"79","4","0.01%","100.00%","","","","4","0.01%"
"80","9","0.02%","100.00%","","","","9","0.02%"
"81","12","0.03%","100.00%","","","","12","0.02%"
"82","3","0.01%","100.00%","","","","3","0.01%"
"83","3","0.01%","100.00%","","","","3","0.01%"
"84","1","0.01%","100.00%","","","","1","0.01%"
"86","2","0.01%","100.00%","","","","2","0.01%"
"87","1","0.01%","100.00%","","","","1","0.01%"
"90","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","47,077","100%","92.71%","3,701","100%","7.29%","50,778","100%"
"Not Reported","1",,,"0",,,"1",
"Grand Total","47,078",,,"3,701",,,"50,779",
