"Age At Admission","Count","Col %","Row %","Count","Col %","Row %","Total","Col %"
"13","1","0.01%","100.00%","","","","1","0.01%"
"14","4","0.01%","100.00%","","","","4","0.01%"
"15","26","0.06%","100.00%","","","","26","0.05%"
"16","84","0.18%","96.55%","3","0.08%","3.45%","87","0.18%"
"17","432","0.94%","93.71%","29","0.82%","6.29%","461","0.93%"
"18","1,043","2.26%","96.57%","37","1.04%","3.43%","1,080","2.17%"
"19","1,435","3.11%","96.83%","47","1.32%","3.17%","1,482","2.98%"
"20","1,633","3.54%","95.72%","73","2.05%","4.28%","1,706","3.44%"
"21","1,693","3.67%","95.11%","87","2.45%","4.89%","1,780","3.58%"
"22","1,766","3.83%","94.44%","104","2.93%","5.56%","1,870","3.77%"
"23","1,736","3.76%","94.40%","103","2.90%","5.60%","1,839","3.70%"
"24","1,651","3.58%","93.65%","112","3.15%","6.35%","1,763","3.55%"
"25","1,589","3.45%","93.25%","115","3.24%","6.75%","1,704","3.43%"
"26","1,617","3.51%","93.68%","109","3.07%","6.32%","1,726","3.48%"
"27","1,610","3.49%","93.88%","105","2.95%","6.12%","1,715","3.45%"
"28","1,551","3.36%","92.87%","119","3.35%","7.13%","1,670","3.36%"
"29","1,579","3.42%","92.61%","126","3.55%","7.39%","1,705","3.43%"
"30","1,546","3.35%","91.64%","141","3.97%","8.36%","1,687","3.40%"
"31","1,507","3.27%","92.06%","130","3.66%","7.94%","1,637","3.30%"
"32","1,497","3.25%","90.95%","149","4.19%","9.05%","1,646","3.31%"
"33","1,477","3.20%","92.25%","124","3.49%","7.75%","1,601","3.22%"
"34","1,364","2.96%","90.21%","148","4.16%","9.79%","1,512","3.04%"
"35","1,309","2.84%","92.31%","109","3.07%","7.69%","1,418","2.86%"
"36","1,277","2.77%","91.54%","118","3.32%","8.46%","1,395","2.81%"
"37","1,271","2.76%","91.44%","119","3.35%","8.56%","1,390","2.80%"
"38","1,134","2.46%","91.53%","105","2.95%","8.47%","1,239","2.49%"
"39","1,093","2.37%","91.39%","103","2.90%","8.61%","1,196","2.41%"
"40","1,066","2.31%","89.73%","122","3.43%","10.27%","1,188","2.39%"
"41","1,096","2.38%","90.95%","109","3.07%","9.05%","1,205","2.43%"
"42","954","2.07%","93.07%","71","2.00%","6.93%","1,025","2.06%"
"43","873","1.89%","91.99%","76","2.14%","8.01%","949","1.91%"
"44","791","1.72%","91.13%","77","2.17%","8.87%","868","1.75%"
"45","744","1.61%","90.07%","82","2.31%","9.93%","826","1.66%"
"46","710","1.54%","93.05%","53","1.49%","6.95%","763","1.54%"
"47","607","1.32%","91.55%","56","1.58%","8.45%","663","1.33%"
"48","602","1.31%","91.49%","56","1.58%","8.51%","658","1.32%"
"49","549","1.19%","92.11%","47","1.32%","7.89%","596","1.20%"
"50","533","1.16%","91.90%","47","1.32%","8.10%","580","1.17%"
"51","476","1.03%","93.52%","33","0.93%","6.48%","509","1.02%"
"52","475","1.03%","91.00%","47","1.32%","9.00%","522","1.05%"
