"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","681","1.36%","93.16%","50","1.34%","6.84%","731","1.36%"
"077
Irwin County","63",".13%","94.03%","4",".11%","5.97%","67",".12%"
"078
Jackson County","283",".57%","93.40%","20",".54%","6.60%","303",".56%"
"079
Jasper County","65",".13%","94.20%","4",".11%","5.80%","69",".13%"
"080
Jeff Davis County","92",".18%","94.85%","5",".13%","5.15%","97",".18%"
"081
Jefferson County","158",".32%","94.61%","9",".24%","5.39%","167",".31%"
"082
Jenkins County","79",".16%","95.18%","4",".11%","4.82%","83",".15%"
"083
Johnson County","47",".09%","94.00%","3",".08%","6.00%","50",".09%"
"084
Jones County","181",".36%","89.16%","22",".59%","10.84%","203",".38%"
"085
Lamar County","67",".13%","91.78%","6",".16%","8.22%","73",".14%"
"086
Lanier County","39",".08%","92.86%","3",".08%","7.14%","42",".08%"
"087
Laurens County","295",".59%","92.48%","24",".64%","7.52%","319",".59%"
"088
Lee County","68",".14%","89.47%","8",".21%","10.53%","76",".14%"
"089
Liberty County","209",".42%","95.00%","11",".30%","5.00%","220",".41%"
"090
Lincoln County","31",".06%","96.88%","1",".03%","3.13%","32",".06%"
"091
Long County","66",".13%","94.29%","4",".11%","5.71%","70",".13%"
"092
Lowndes County","451",".90%","95.15%","23",".62%","4.85%","474",".88%"
"093
Lumpkin County","97",".19%","90.65%","10",".27%","9.35%","107",".20%"
"094
Macon County","52",".10%","96.30%","2",".05%","3.70%","54",".10%"
"095
Madison County","136",".27%","91.28%","13",".35%","8.72%","149",".28%"
"096
Marion County","32",".06%","91.43%","3",".08%","8.57%","35",".07%"
"097
Mcduffie County","182",".36%","95.29%","9",".24%","4.71%","191",".36%"
"098
Mcintosh County","61",".12%","89.71%","7",".19%","10.29%","68",".13%"
"099
Meriwether County","177",".35%","91.24%","17",".46%","8.76%","194",".36%"
"100
Miller County","33",".07%","97.06%","1",".03%","2.94%","34",".06%"
"101
Mitchell County","143",".29%","94.70%","8",".21%","5.30%","151",".28%"
"102
Monroe County","152",".30%","91.57%","14",".38%","8.43%","166",".31%"
"103
Montgomery County","28",".06%","84.85%","5",".13%","15.15%","33",".06%"
"104
Morgan County","135",".27%","91.84%","12",".32%","8.16%","147",".27%"
"105
Murray County","212",".42%","92.58%","17",".46%","7.42%","229",".43%"
"106
Muscogee County","1,233","2.47%","94.92%","66","1.77%","5.08%","1,299","2.42%"
"107
Newton County","705","1.41%","91.09%","69","1.85%","8.91%","774","1.44%"
"108
Oconee County","55",".11%","100.00%","","","","55",".10%"
"109
Oglethorpe County","66",".13%","95.65%","3",".08%","4.35%","69",".13%"
"110
Paulding County","239",".48%","93.00%","18",".48%","7.00%","257",".48%"
"111
Peach County","80",".16%","94.12%","5",".13%","5.88%","85",".16%"
"112
Pickens County","105",".21%","91.30%","10",".27%","8.70%","115",".21%"
"113
Pierce County","130",".26%","92.20%","11",".30%","7.80%","141",".26%"
