"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"114
Pike County","44",".09%","95.65%","2",".06%","4.35%","46",".09%"
"115
Polk County","164",".33%","94.25%","10",".28%","5.75%","174",".32%"
"116
Pulaski County","63",".13%","96.92%","2",".06%","3.08%","65",".12%"
"117
Putnam County","147",".29%","94.23%","9",".25%","5.77%","156",".29%"
"118
Quitman County","15",".03%","100.00%","","","","15",".03%"
"119
Rabun County","46",".09%","85.19%","8",".22%","14.81%","54",".10%"
"120
Randolph County","64",".13%","95.52%","3",".08%","4.48%","67",".12%"
"121
Richmond County","1,791","3.56%","94.46%","105","2.90%","5.54%","1,896","3.52%"
"122
Rockdale County","458",".91%","91.24%","44","1.22%","8.76%","502",".93%"
"123
Schley County","13",".03%","92.86%","1",".03%","7.14%","14",".03%"
"124
Screven County","139",".28%","93.92%","9",".25%","6.08%","148",".27%"
"125
Seminole County","70",".14%","90.91%","7",".19%","9.09%","77",".14%"
"126
Spalding County","525","1.04%","92.59%","42","1.16%","7.41%","567","1.05%"
"127
Stephens County","147",".29%","91.30%","14",".39%","8.70%","161",".30%"
"128
Stewart County","29",".06%","96.67%","1",".03%","3.33%","30",".06%"
"129
Sumter County","202",".40%","94.39%","12",".33%","5.61%","214",".40%"
"130
Talbot County","37",".07%","92.50%","3",".08%","7.50%","40",".07%"
"131
Taliaferro County","17",".03%","89.47%","2",".06%","10.53%","19",".04%"
"132
Tattnall County","184",".37%","94.36%","11",".30%","5.64%","195",".36%"
"133
Taylor County","58",".12%","93.55%","4",".11%","6.45%","62",".12%"
"134
Telfair County","87",".17%","92.55%","7",".19%","7.45%","94",".17%"
"135
Terrell County","86",".17%","96.63%","3",".08%","3.37%","89",".17%"
"136
Thomas County","193",".38%","92.34%","16",".44%","7.66%","209",".39%"
"137
Tift County","333",".66%","95.69%","15",".41%","4.31%","348",".65%"
"138
Toombs County","322",".64%","92.00%","28",".77%","8.00%","350",".65%"
"139
Towns County","38",".08%","86.36%","6",".17%","13.64%","44",".08%"
"140
Treutlen County","83",".17%","93.26%","6",".17%","6.74%","89",".17%"
"141
Troup County","570","1.13%","91.94%","50","1.38%","8.06%","620","1.15%"
"142
Turner County","67",".13%","93.06%","5",".14%","6.94%","72",".13%"
"143
Twiggs County","62",".12%","96.88%","2",".06%","3.13%","64",".12%"
"144
Union County","78",".16%","81.25%","18",".50%","18.75%","96",".18%"
"145
Upson County","167",".33%","95.43%","8",".22%","4.57%","175",".32%"
"146
Walker County","400",".80%","89.29%","48","1.33%","10.71%","448",".83%"
"147
Walton County","524","1.04%","90.97%","52","1.44%","9.03%","576","1.07%"
"148
Ware County","334",".66%","93.82%","22",".61%","6.18%","356",".66%"
"149
Warren County","48",".10%","97.96%","1",".03%","2.04%","49",".09%"
"150
Washington County","172",".34%","91.49%","16",".44%","8.51%","188",".35%"
"151
Wayne County","166",".33%","94.32%","10",".28%","5.68%","176",".33%"
