"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","637","1.25%","92.59%","51","1.29%","7.41%","688","1.25%"
"039
Crawford County","21",".04%","84.00%","4",".10%","16.00%","25",".05%"
"040
Crisp County","296",".58%","92.79%","23",".58%","7.21%","319",".58%"
"041
Dade County","107",".21%","93.04%","8",".20%","6.96%","115",".21%"
"042
Dawson County","87",".17%","87.00%","13",".33%","13.00%","100",".18%"
"043
Decatur County","227",".44%","94.98%","12",".30%","5.02%","239",".43%"
"044
Dekalb County","3,067","6.00%","95.49%","145","3.67%","4.51%","3,212","5.84%"
"045
Dodge County","164",".32%","94.25%","10",".25%","5.75%","174",".32%"
"046
Dooly County","110",".22%","94.02%","7",".18%","5.98%","117",".21%"
"047
Dougherty County","960","1.88%","95.05%","50","1.27%","4.95%","1,010","1.84%"
"048
Douglas County","1,035","2.03%","89.77%","118","2.99%","10.23%","1,153","2.10%"
"049
Early County","94",".18%","94.00%","6",".15%","6.00%","100",".18%"
"050
Echols County","13",".03%","100.00%","","","","13",".02%"
"051
Effingham County","253",".50%","92.34%","21",".53%","7.66%","274",".50%"
"052
Elbert County","152",".30%","94.41%","9",".23%","5.59%","161",".29%"
"053
Emanuel County","169",".33%","91.35%","16",".41%","8.65%","185",".34%"
"054
Evans County","78",".15%","93.98%","5",".13%","6.02%","83",".15%"
"055
Fannin County","97",".19%","90.65%","10",".25%","9.35%","107",".19%"
"056
Fayette County","329",".64%","89.40%","39",".99%","10.60%","368",".67%"
"057
Floyd County","894","1.75%","89.58%","104","2.63%","10.42%","998","1.81%"
"058
Forsyth County","364",".71%","92.39%","30",".76%","7.61%","394",".72%"
"059
Franklin County","161",".32%","91.48%","15",".38%","8.52%","176",".32%"
"060
Fulton County","5,090","9.96%","96.06%","209","5.30%","3.94%","5,299","9.63%"
"061
Gilmer County","89",".17%","91.75%","8",".20%","8.25%","97",".18%"
"062
Glascock County","7",".01%","100.00%","","","","7",".01%"
"063
Glynn County","554","1.08%","95.03%","29",".73%","4.97%","583","1.06%"
"064
Gordon County","390",".76%","87.84%","54","1.37%","12.16%","444",".81%"
"065
Grady County","135",".26%","97.12%","4",".10%","2.88%","139",".25%"
"066
Greene County","107",".21%","93.04%","8",".20%","6.96%","115",".21%"
"067
Gwinnett County","2,788","5.46%","93.06%","208","5.27%","6.94%","2,996","5.44%"
"068
Habersham County","117",".23%","87.97%","16",".41%","12.03%","133",".24%"
"069
Hall County","718","1.41%","91.12%","70","1.77%","8.88%","788","1.43%"
"070
Hancock County","33",".06%","100.00%","","","","33",".06%"
"071
Haralson County","117",".23%","92.13%","10",".25%","7.87%","127",".23%"
"072
Harris County","128",".25%","91.43%","12",".30%","8.57%","140",".25%"
"073
Hart County","164",".32%","89.13%","20",".51%","10.87%","184",".33%"
"074
Heard County","49",".10%","87.50%","7",".18%","12.50%","56",".10%"
"075
Henry County","546","1.07%","88.93%","68","1.72%","11.07%","614","1.12%"
