"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"076
Houston County","666","1.31%","93.02%","50","1.27%","6.98%","716","1.31%"
"077
Irwin County","69",".14%","97.18%","2",".05%","2.82%","71",".13%"
"078
Jackson County","268",".53%","89.93%","30",".76%","10.07%","298",".54%"
"079
Jasper County","61",".12%","92.42%","5",".13%","7.58%","66",".12%"
"080
Jeff Davis County","95",".19%","95.00%","5",".13%","5.00%","100",".18%"
"081
Jefferson County","160",".31%","93.02%","12",".31%","6.98%","172",".31%"
"082
Jenkins County","79",".16%","96.34%","3",".08%","3.66%","82",".15%"
"083
Johnson County","36",".07%","92.31%","3",".08%","7.69%","39",".07%"
"084
Jones County","213",".42%","86.94%","32",".81%","13.06%","245",".45%"
"085
Lamar County","76",".15%","88.37%","10",".25%","11.63%","86",".16%"
"086
Lanier County","50",".10%","98.04%","1",".03%","1.96%","51",".09%"
"087
Laurens County","274",".54%","94.16%","17",".43%","5.84%","291",".53%"
"088
Lee County","70",".14%","90.91%","7",".18%","9.09%","77",".14%"
"089
Liberty County","239",".47%","94.09%","15",".38%","5.91%","254",".46%"
"090
Lincoln County","41",".08%","91.11%","4",".10%","8.89%","45",".08%"
"091
Long County","64",".13%","91.43%","6",".15%","8.57%","70",".13%"
"092
Lowndes County","447",".88%","96.13%","18",".46%","3.87%","465",".85%"
"093
Lumpkin County","95",".19%","92.23%","8",".20%","7.77%","103",".19%"
"094
Macon County","53",".10%","92.98%","4",".10%","7.02%","57",".10%"
"095
Madison County","167",".33%","93.30%","12",".31%","6.70%","179",".33%"
"096
Marion County","32",".06%","91.43%","3",".08%","8.57%","35",".06%"
"097
Mcduffie County","200",".39%","95.69%","9",".23%","4.31%","209",".38%"
"098
Mcintosh County","43",".08%","91.49%","4",".10%","8.51%","47",".09%"
"099
Meriwether County","206",".41%","91.96%","18",".46%","8.04%","224",".41%"
"100
Miller County","39",".08%","95.12%","2",".05%","4.88%","41",".07%"
"101
Mitchell County","158",".31%","94.05%","10",".25%","5.95%","168",".31%"
"102
Monroe County","133",".26%","93.01%","10",".25%","6.99%","143",".26%"
"103
Montgomery County","34",".07%","89.47%","4",".10%","10.53%","38",".07%"
"104
Morgan County","118",".23%","88.06%","16",".41%","11.94%","134",".24%"
"105
Murray County","218",".43%","88.62%","28",".71%","11.38%","246",".45%"
"106
Muscogee County","1,190","2.34%","95.12%","61","1.55%","4.88%","1,251","2.28%"
"107
Newton County","714","1.40%","89.92%","80","2.04%","10.08%","794","1.45%"
"108
Oconee County","60",".12%","98.36%","1",".03%","1.64%","61",".11%"
"109
Oglethorpe County","70",".14%","92.11%","6",".15%","7.89%","76",".14%"
"110
Paulding County","230",".45%","91.27%","22",".56%","8.73%","252",".46%"
"111
Peach County","94",".18%","94.95%","5",".13%","5.05%","99",".18%"
"112
Pickens County","102",".20%","87.93%","14",".36%","12.07%","116",".21%"
"113
Pierce County","102",".20%","90.27%","11",".28%","9.73%","113",".21%"
