"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Terrell County","52","0.1%","94.55%","3","0.07%","5.45%","55","0.1%"
"Thomas County","233","0.47%","95.49%","11","0.27%","4.51%","244","0.46%"
"Tift County","275","0.55%","95.49%","13","0.32%","4.51%","288","0.54%"
"Toombs County","290","0.59%","92.06%","25","0.62%","7.94%","315","0.59%"
"Towns County","54","0.11%","79.41%","14","0.35%","20.59%","68","0.13%"
"Treutlen County","59","0.12%","93.65%","4","0.1%","6.35%","63","0.12%"
"Troup County","593","1.2%","92.08%","51","1.27%","7.92%","644","1.2%"
"Turner County","65","0.13%","95.59%","3","0.07%","4.41%","68","0.13%"
"Twiggs County","36","0.07%","90.0%","4","0.1%","10.0%","40","0.07%"
"Union County","78","0.16%","86.67%","12","0.3%","13.33%","90","0.17%"
"Upson County","224","0.45%","92.56%","18","0.45%","7.44%","242","0.45%"
"Walker County","384","0.77%","92.75%","30","0.75%","7.25%","414","0.77%"
"Walton County","648","1.31%","90.88%","65","1.62%","9.12%","713","1.33%"
"Ware County","265","0.53%","89.53%","31","0.77%","10.47%","296","0.55%"
"Warren County","29","0.06%","96.67%","1","0.02%","3.33%","30","0.06%"
"Washington County","174","0.35%","93.55%","12","0.3%","6.45%","186","0.35%"
"Wayne County","173","0.35%","87.37%","25","0.62%","12.63%","198","0.37%"
"Webster County","14","0.03%","100.0%","","","","14","0.03%"
"Wheeler County","26","0.05%","89.66%","3","0.07%","10.34%","29","0.05%"
"White County","95","0.19%","91.35%","9","0.22%","8.65%","104","0.19%"
"Whitfield County","757","1.53%","88.02%","103","2.57%","11.98%","860","1.61%"
"Wilcox County","64","0.13%","94.12%","4","0.1%","5.88%","68","0.13%"
"Wilkes County","75","0.15%","97.4%","2","0.05%","2.6%","77","0.14%"
"Wilkinson County","39","0.08%","97.5%","1","0.02%","2.5%","40","0.07%"
"Worth County","137","0.28%","91.33%","13","0.32%","8.67%","150","0.28%"
"Total Reported","49,563","100.00%","92.52%","4,008","100.00%","7.48%","53,571","100.00%"
