"County of Conviction","Count","Col %","","Row %  Count","","Col %  Row %","Total","Col %"
"39
Crawford","19",".04%","86.36%","3",".11%","13.64%","22",".05%"
"40
Crisp","279",".62%","94.58%","16",".59%","5.42%","295",".62%"
"41
Dade","134",".30%","95.71%","6",".22%","4.29%","140",".29%"
"42
Dawson","86",".19%","97.73%","2",".07%","2.27%","88",".18%"
"43
Decatur","267",".59%","94.68%","15",".56%","5.32%","282",".59%"
"44
Dekalb","3,028","6.70%","95.31%","149","5.54%","4.69%","3,177","6.64%"
"45
Dodge","158",".35%","92.40%","13",".48%","7.60%","171",".36%"
"46
Dooly","111",".25%","94.07%","7",".26%","5.93%","118",".25%"
"47
Dougherty","983","2.18%","95.16%","50","1.86%","4.84%","1,033","2.16%"
"48
Douglas","907","2.01%","91.43%","85","3.16%","8.57%","992","2.07%"
"49
Early","72",".16%","97.30%","2",".07%","2.70%","74",".15%"
"50
Echols","9",".02%","100.00%","","","","9",".02%"
"51
Effingham","159",".35%","93.53%","11",".41%","6.47%","170",".36%"
"52
Elbert","140",".31%","92.72%","11",".41%","7.28%","151",".32%"
"53
Emanuel","173",".38%","97.19%","5",".19%","2.81%","178",".37%"
"54
Evans","74",".16%","94.87%","4",".15%","5.13%","78",".16%"
"55
Fannin","102",".23%","91.07%","10",".37%","8.93%","112",".23%"
"56
Fayette","275",".61%","93.86%","18",".67%","6.14%","293",".61%"
"57
Floyd","700","1.55%","91.62%","64","2.38%","8.38%","764","1.60%"
"58
Forsyth","193",".43%","93.24%","14",".52%","6.76%","207",".43%"
"59
Franklin","134",".30%","94.37%","8",".30%","5.63%","142",".30%"
"60
Fulton","4,399","9.74%","96.17%","175","6.51%","3.83%","4,574","9.55%"
"61
Gilmer","135",".30%","96.43%","5",".19%","3.57%","140",".29%"
"62
Glascock","8",".02%","88.89%","1",".04%","11.11%","9",".02%"
"63
Glynn","457","1.01%","96.21%","18",".67%","3.79%","475",".99%"
"64
Gordon","251",".56%","88.69%","32","1.19%","11.31%","283",".59%"
"65
Grady","214",".47%","95.96%","9",".33%","4.04%","223",".47%"
"66
Greene","107",".24%","96.40%","4",".15%","3.60%","111",".23%"
"67
Gwinnett","1,321","2.92%","93.56%","91","3.38%","6.44%","1,412","2.95%"
"68
Habersham","114",".25%","91.94%","10",".37%","8.06%","124",".26%"
"69
Hall","636","1.41%","93.81%","42","1.56%","6.19%","678","1.42%"
"70
Hancock","29",".06%","96.67%","1",".04%","3.33%","30",".06%"
"71
Haralson","71",".16%","97.26%","2",".07%","2.74%","73",".15%"
"72
Harris","92",".20%","95.83%","4",".15%","4.17%","96",".20%"
"73
Hart","92",".20%","91.09%","9",".33%","8.91%","101",".21%"
"74
Heard","46",".10%","92.00%","4",".15%","8.00%","50",".10%"
"75
Henry","408",".90%","91.48%","38","1.41%","8.52%","446",".93%"
"76
Houston","515","1.14%","94.32%","31","1.15%","5.68%","546","1.14%"
