"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038 
Coweta County","544","1.24%","95.27%","27",".89%","4.73%","571","1.21%"
"039 
Crawford County","20",".05%","90.91%","2",".07%","9.09%","22",".05%"
"040 
Crisp County","320",".73%","93.57%","22",".73%","6.43%","342",".73%"
"041 
Dade County","77",".17%","96.25%","3",".10%","3.75%","80",".17%"
"042 
Dawson County","87",".20%","93.55%","6",".20%","6.45%","93",".20%"
"043 
Decatur County","223",".51%","96.54%","8",".26%","3.46%","231",".49%"
"044 
Dekalb County","2,483","5.64%","95.10%","128","4.23%","4.90%","2,611","5.55%"
"045 
Dodge County","101",".23%","96.19%","4",".13%","3.81%","105",".22%"
"046 
Dooly County","111",".25%","94.07%","7",".23%","5.93%","118",".25%"
"047 
Dougherty County","728","1.65%","96.68%","25",".83%","3.32%","753","1.60%"
"048 
Douglas County","924","2.10%","91.39%","87","2.88%","8.61%","1,011","2.15%"
"049 
Early County","79",".18%","97.53%","2",".07%","2.47%","81",".17%"
"050 
Echols County","11",".02%","84.62%","2",".07%","15.38%","13",".03%"
"051 
Effingham County","198",".45%","90.41%","21",".69%","9.59%","219",".47%"
"052 
Elbert County","126",".29%","93.33%","9",".30%","6.67%","135",".29%"
"053 
Emanuel County","140",".32%","91.50%","13",".43%","8.50%","153",".33%"
"054 
Evans County","77",".17%","95.06%","4",".13%","4.94%","81",".17%"
"055 
Fannin County","85",".19%","88.54%","11",".36%","11.46%","96",".20%"
"056 
Fayette County","295",".67%","95.47%","14",".46%","4.53%","309",".66%"
"057 
Floyd County","812","1.85%","90.83%","82","2.71%","9.17%","894","1.90%"
"058 
Forsyth County","332",".75%","91.46%","31","1.03%","8.54%","363",".77%"
"059 
Franklin County","135",".31%","85.44%","23",".76%","14.56%","158",".34%"
"060 
Fulton County","4,386","9.97%","96.35%","166","5.49%","3.65%","4,552","9.68%"
"061 
Gilmer County","92",".21%","91.09%","9",".30%","8.91%","101",".21%"
"062 
Glascock County","8",".02%","100.00%","","","","8",".02%"
"063 
Glynn County","505","1.15%","93.52%","35","1.16%","6.48%","540","1.15%"
"064 
Gordon County","322",".73%","90.45%","34","1.12%","9.55%","356",".76%"
"065 
Grady County","134",".30%","95.71%","6",".20%","4.29%","140",".30%"
"066 
Greene County","91",".21%","95.79%","4",".13%","4.21%","95",".20%"
"067 
Gwinnett County","2,282","5.19%","94.26%","139","4.60%","5.74%","2,421","5.15%"
"068 
Habersham County","107",".24%","91.45%","10",".33%","8.55%","117",".25%"
"069 
Hall County","613","1.39%","92.74%","48","1.59%","7.26%","661","1.41%"
"070 
Hancock County","34",".08%","89.47%","4",".13%","10.53%","38",".08%"
"071 
Haralson County","113",".26%","92.62%","9",".30%","7.38%","122",".26%"
"072 
Harris County","94",".21%","93.07%","7",".23%","6.93%","101",".21%"
"073 
Hart County","162",".37%","92.05%","14",".46%","7.95%","176",".37%"
"074 
Heard County","38",".09%","95.00%","2",".07%","5.00%","40",".09%"
"075 
Henry County","559","1.27%","92.24%","47","1.55%","7.76%","606","1.29%"
