"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"038
Coweta County","564","1.13%","93.84%","37","1.03%","6.16%","601","1.12%"
"039
Crawford County","24",".05%","100.00%","","","","24",".04%"
"040
Crisp County","287",".57%","93.79%","19",".53%","6.21%","306",".57%"
"041
Dade County","94",".19%","93.07%","7",".19%","6.93%","101",".19%"
"042
Dawson County","96",".19%","90.57%","10",".28%","9.43%","106",".20%"
"043
Decatur County","267",".53%","94.35%","16",".44%","5.65%","283",".53%"
"044
Dekalb County","3,116","6.24%","94.74%","173","4.80%","5.26%","3,289","6.14%"
"045
Dodge County","144",".29%","93.51%","10",".28%","6.49%","154",".29%"
"046
Dooly County","92",".18%","96.84%","3",".08%","3.16%","95",".18%"
"047
Dougherty County","961","1.92%","94.12%","60","1.67%","5.88%","1,021","1.91%"
"048
Douglas County","1,183","2.37%","89.96%","132","3.67%","10.04%","1,315","2.46%"
"049
Early County","104",".21%","96.30%","4",".11%","3.70%","108",".20%"
"050
Echols County","9",".02%","100.00%","","","","9",".02%"
"051
Effingham County","191",".38%","93.17%","14",".39%","6.83%","205",".38%"
"052
Elbert County","128",".26%","92.75%","10",".28%","7.25%","138",".26%"
"053
Emanuel County","181",".36%","94.27%","11",".31%","5.73%","192",".36%"
"054
Evans County","98",".20%","95.15%","5",".14%","4.85%","103",".19%"
"055
Fannin County","89",".18%","85.58%","15",".42%","14.42%","104",".19%"
"056
Fayette County","343",".69%","87.50%","49","1.36%","12.50%","392",".73%"
"057
Floyd County","901","1.80%","90.74%","92","2.55%","9.26%","993","1.85%"
"058
Forsyth County","377",".75%","91.28%","36","1.00%","8.72%","413",".77%"
"059
Franklin County","136",".27%","93.15%","10",".28%","6.85%","146",".27%"
"060
Fulton County","4,925","9.86%","96.34%","187","5.19%","3.66%","5,112","9.55%"
"061
Gilmer County","91",".18%","92.86%","7",".19%","7.14%","98",".18%"
"062
Glascock County","3",".01%","75.00%","1",".03%","25.00%","4",".01%"
"063
Glynn County","525","1.05%","92.11%","45","1.25%","7.89%","570","1.06%"
"064
Gordon County","376",".75%","87.04%","56","1.56%","12.96%","432",".81%"
"065
Grady County","182",".36%","94.79%","10",".28%","5.21%","192",".36%"
"066
Greene County","115",".23%","93.50%","8",".22%","6.50%","123",".23%"
"067
Gwinnett County","2,351","4.71%","92.78%","183","5.08%","7.22%","2,534","4.73%"
"068
Habersham County","102",".20%","94.44%","6",".17%","5.56%","108",".20%"
"069
Hall County","692","1.39%","91.41%","65","1.81%","8.59%","757","1.41%"
"070
Hancock County","31",".06%","91.18%","3",".08%","8.82%","34",".06%"
"071
Haralson County","164",".33%","93.71%","11",".31%","6.29%","175",".33%"
"072
Harris County","104",".21%","93.69%","7",".19%","6.31%","111",".21%"
"073
Hart County","158",".32%","96.34%","6",".17%","3.66%","164",".31%"
"074
Heard County","47",".09%","90.38%","5",".14%","9.62%","52",".10%"
"075
Henry County","529","1.06%","90.89%","53","1.47%","9.11%","582","1.09%"
