"","Male","","","Female","","","Total",""
"County of Conviction","Count","Col %","","Row %  Count","Col %","Row %","Total","Col %"
"000 
Unknown","209",".45%","94.14%","13",".36%","5.86%","222",".44%"
"001 
Appling County","113",".24%","96.58%","4",".11%","3.42%","117",".23%"
"002 
Atkinson County","48",".10%","97.96%","1",".03%","2.04%","49",".10%"
"003 
Bacon County","74",".16%","92.50%","6",".17%","7.50%","80",".16%"
"004 
Baker County","15",".03%","88.24%","2",".06%","11.76%","17",".03%"
"005 
Baldwin County","286",".61%","93.16%","21",".58%","6.84%","307",".61%"
"006 
Banks County","50",".11%","87.72%","7",".19%","12.28%","57",".11%"
"007 
Barrow County","357",".76%","88.81%","45","1.25%","11.19%","402",".80%"
"008 
Bartow County","582","1.25%","87.26%","85","2.36%","12.74%","667","1.33%"
"009 
Ben Hill County","255",".55%","92.73%","20",".56%","7.27%","275",".55%"
"010 
Berrien County","111",".24%","94.07%","7",".19%","5.93%","118",".23%"
"011 
Bibb County","943","2.02%","95.45%","45","1.25%","4.55%","988","1.96%"
"012 
Bleckley County","64",".14%","92.75%","5",".14%","7.25%","69",".14%"
"013 
Brantley County","82",".18%","86.32%","13",".36%","13.68%","95",".19%"
"014 
Brooks County","50",".11%","98.04%","1",".03%","1.96%","51",".10%"
"015 
Bryan County","69",".15%","95.83%","3",".08%","4.17%","72",".14%"
"016 
Bulloch County","506","1.08%","92.00%","44","1.22%","8.00%","550","1.09%"
"017 
Burke County","210",".45%","96.33%","8",".22%","3.67%","218",".43%"
"018 
Butts County","139",".30%","93.29%","10",".28%","6.71%","149",".30%"
"019 
Calhoun County","29",".06%","87.88%","4",".11%","12.12%","33",".07%"
"020 
Camden County","188",".40%","92.61%","15",".42%","7.39%","203",".40%"
"021 
Candler County","78",".17%","91.76%","7",".19%","8.24%","85",".17%"
"022 
Carroll County","647","1.39%","92.56%","52","1.44%","7.44%","699","1.39%"
"023 
Catoosa County","363",".78%","87.89%","50","1.39%","12.11%","413",".82%"
"024 
Charlton County","69",".15%","92.00%","6",".17%","8.00%","75",".15%"
"025 
Chatham County","1,516","3.25%","95.65%","69","1.92%","4.35%","1,585","3.15%"
"026 
Chattahoochee County","17",".04%","100.00%","","","","17",".03%"
"027 
Chattooga County","166",".36%","93.26%","12",".33%","6.74%","178",".35%"
"028 
Cherokee County","587","1.26%","92.73%","46","1.28%","7.27%","633","1.26%"
"029 
Clarke County","484","1.04%","94.72%","27",".75%","5.28%","511","1.02%"
"030 
Clay County","12",".03%","80.00%","3",".08%","20.00%","15",".03%"
"031 
Clayton County","1,065","2.28%","93.26%","77","2.14%","6.74%","1,142","2.27%"
"032 
Clinch County","43",".09%","95.56%","2",".06%","4.44%","45",".09%"
"033 
Cobb County","2,172","4.65%","93.54%","150","4.17%","6.46%","2,322","4.62%"
"034 
Coffee County","302",".65%","92.64%","24",".67%","7.36%","326",".65%"
"035 
Colquitt County","230",".49%","93.88%","15",".42%","6.12%","245",".49%"
"036 
Columbia County","431",".92%","90.17%","47","1.31%","9.83%","478",".95%"
"037 
Cook County","120",".26%","94.49%","7",".19%","5.51%","127",".25%"
